Timestamp,Trip_ID,Driver_ID,Speed_kmh,Acceleration_ms2,Slope_%,Distance_Travelled_km,Vehicle_Weight_kg,Payload_kg,Battery_Temperature_C,Weather_Condition,Traffic_Condition,Driving_Mode,Road_Type,Wind_Speed_mps,Tire_Pressure_PSI,GPS_Elevation_m,State_of_Charge_pct,Motor_RPM,Motor_Torque_Nm,Motor_Efficiency,Battery_Voltage_V,Battery_Current_A,Regen_Energy_kWh,Theoretical_Power_Demand,Theoretical_Energy_kWh,Energy_Consumption_kWh
2025-01-01 08:00:00,trip_1,Driver_12,40.0,-0.441,1.25,0.683,1600,0,21.49,Rain,Free,Normal,Urban,0.08,33.0,8.5,97.59,2733.0,-8.7,0.948,359.4,-0.6,0.0037,-2.7,0.0,0.0
2025-01-01 08:00:30,trip_1,Driver_8,32.22,0.781,4.34,0.523,1700,50,18.58,Fog,Free,Normal,Hilly,1.86,35.7,31.2,96.86,2201.0,93.2,0.964,360.4,59.6,0.0,23.3587,0.4095,0.4266
2025-01-01 08:01:00,trip_1,Driver_8,38.28,1.196,0.82,0.628,1800,0,20.3,Snow,Heavy,Normal,Urban,1.36,34.3,36.4,96.0,2615.0,101.3,0.98,356.4,77.8,0.0,30.1506,0.5342,0.5482
2025-01-01 08:01:30,trip_1,Driver_4,48.71,0.898,4.97,0.802,1800,100,29.7,Clear,Light,Normal,Hilly,3.01,30.0,76.2,94.67,3328.0,115.9,0.98,359.5,112.4,0.0,43.9074,0.7808,0.8055
2025-01-01 08:02:00,trip_1,Driver_11,60.72,-0.092,-2.84,0.992,1900,50,25.75,Clear,Free,Normal,Urban,0.68,31.2,48.1,94.67,4149.0,-12.4,0.912,362.0,-14.9,0.0881,-5.8558,0.0,0.0
2025-01-01 08:02:30,trip_1,Driver_1,16.01,-1.137,-0.03,0.246,1500,100,28.64,Clear,Light,Eco,Urban,2.9,30.3,48.0,94.67,1094.0,-61.3,0.862,362.1,-4.4,0.0245,-7.6395,0.0,0.0
2025-01-01 08:03:00,trip_1,Driver_20,0.0,-0.765,-0.95,0.01,1800,50,20.34,Rain,Moderate,Eco,Urban,3.67,31.5,47.9,94.67,500.0,-0.0,0.824,359.5,-0.0,0.0,-0.0,0.0,0.0
2025-01-01 08:03:30,trip_1,Driver_13,47.92,1.476,0.67,0.764,1500,100,25.64,Clear,Light,Normal,Urban,2.24,30.9,53.0,93.57,3274.0,107.7,0.98,361.9,102.1,0.0,40.1443,0.6912,0.7308
2025-01-01 08:04:00,trip_1,Driver_17,0.0,0.454,0.51,0.043,1700,150,29.79,Clear,Moderate,Eco,Urban,2.64,33.6,53.2,93.57,500.0,0.0,0.824,363.8,0.0,0.0,0.0,0.0,0.0004
2025-01-01 08:04:30,trip_1,Driver_16,64.59,2.905,5.27,1.042,1700,0,26.8,Clear,Free,Normal,Hilly,2.61,33.3,108.2,90.11,4413.0,240.6,0.951,357.9,310.7,0.0,120.862,2.1058,2.2267
2025-01-01 08:05:00,trip_1,Driver_19,23.38,0.512,-0.62,0.388,1700,50,31.54,Clear,Moderate,Eco,Urban,2.86,33.3,105.7,89.9,1597.0,41.3,0.912,366.4,18.9,0.0,7.5131,0.1347,0.1605
2025-01-01 08:05:30,trip_1,Driver_1,44.06,-0.61,1.62,0.73,1600,0,33.91,Clear,Light,Normal,Urban,1.36,32.0,117.6,89.9,3010.0,-16.5,0.95,362.3,-1.8,0.0108,-5.6559,0.0,0.0
2025-01-01 08:06:00,trip_1,Driver_17,51.71,0.173,-2.19,0.844,1500,50,29.74,Cloudy,Free,Normal,Urban,1.51,31.6,99.1,89.79,3533.0,9.6,0.945,362.9,9.8,0.0,3.8649,0.0681,0.0715
2025-01-01 08:06:30,trip_1,Driver_19,72.72,-1.546,2.02,1.209,1900,0,19.85,Cloudy,Heavy,Normal,Urban,4.09,34.7,123.5,89.79,4969.0,-82.1,0.858,356.7,-37.0,0.2194,-46.4324,0.0,0.0
2025-01-01 08:07:00,trip_1,Driver_9,64.58,1.173,2.42,1.09,1900,50,23.14,Clear,Free,Normal,Urban,1.07,34.8,149.9,87.78,4412.0,123.0,0.936,358.0,158.8,0.0,61.7815,1.1262,1.1861
2025-01-01 08:07:30,trip_1,Driver_16,39.87,-2.761,0.9,0.677,1500,0,23.18,Fog,Free,Normal,Urban,3.47,34.6,156.0,87.78,2724.0,-145.1,0.948,359.6,-63.6,0.3883,-45.0012,0.0,0.0
2025-01-01 08:08:00,trip_1,Driver_15,80.95,-2.165,1.66,1.305,1500,50,31.51,Rain,Light,Sport,Urban,3.56,32.5,177.6,87.78,5531.0,-103.6,0.822,363.5,-71.5,0.419,-50.0,0.0,0.0
2025-01-01 08:08:30,trip_1,Driver_14,44.77,0.441,-0.26,0.723,1600,50,22.94,Clear,Light,Normal,Urban,3.7,31.9,175.8,87.38,3059.0,38.5,0.965,360.1,34.2,0.0,13.4032,0.2338,0.244
2025-01-01 08:09:00,trip_1,Driver_19,50.45,-1.329,3.37,0.828,1600,0,28.4,Rain,Light,Normal,Hilly,5.98,33.9,203.7,87.38,3447.0,-49.8,0.944,365.5,-13.1,0.0786,-19.5312,0.0,0.0
2025-01-01 08:09:30,trip_1,Driver_18,40.06,1.229,0.3,0.66,1900,0,25.62,Clear,Free,Normal,Urban,2.96,31.5,205.7,86.39,2737.0,105.6,0.98,359.1,84.3,0.0,32.9139,0.5856,0.5964
2025-01-01 08:10:00,trip_1,Driver_9,29.09,1.084,-0.88,0.44,1700,0,24.09,Clear,Free,Eco,Urban,1.79,33.9,201.8,85.94,1988.0,76.6,0.948,360.7,44.2,0.0,17.3281,0.2831,0.3239
2025-01-01 08:10:30,trip_1,Driver_18,31.16,2.402,2.98,0.525,1600,50,22.65,Clear,Moderate,Normal,Urban,3.29,30.2,217.4,84.6,2129.0,183.2,0.978,354.3,115.3,0.0,44.3949,0.8078,0.8254
2025-01-01 08:11:00,trip_1,Driver_13,55.59,-2.269,-1.56,0.934,1700,0,19.97,Clear,Light,Normal,Urban,0.59,31.0,202.9,84.6,3798.0,-146.4,0.931,357.4,-73.9,0.4438,-50.0,0.0,0.0
2025-01-01 08:11:30,trip_1,Driver_12,36.17,-0.687,0.33,0.588,1700,50,22.51,Clear,Light,Normal,Urban,2.18,31.5,204.8,84.6,2471.0,-32.9,0.941,355.0,-3.3,0.019,-9.2483,0.0,0.0024
2025-01-01 08:12:00,trip_1,Driver_9,34.73,0.418,1.49,0.613,1500,150,24.36,Clear,Moderate,Normal,Urban,2.22,32.5,213.9,84.19,2373.0,47.0,0.956,356.4,32.8,0.0,12.7054,0.2422,0.2748
2025-01-01 08:12:30,trip_1,Driver_4,52.16,1.257,1.38,0.908,1700,50,19.43,Rain,Moderate,Normal,Urban,4.77,35.2,226.5,82.84,3564.0,107.9,0.977,360.5,111.7,0.0,43.7799,0.8231,0.8267
2025-01-01 08:13:00,trip_1,Driver_20,76.85,0.271,2.35,1.312,1900,100,30.69,Clear,Light,Normal,Urban,3.26,34.8,257.3,81.77,5251.0,57.6,0.861,360.8,87.8,0.0,34.4185,0.6346,0.7448
2025-01-01 08:13:30,trip_1,Driver_17,2.38,-1.363,-1.43,0.028,1800,100,14.47,Clear,Moderate,Eco,Urban,1.93,30.5,256.9,81.77,500.0,-32.5,0.824,352.9,-1.3,0.0054,-1.8515,0.0,0.0121
2025-01-01 08:14:00,trip_1,Driver_7,0.0,0.859,0.34,0.01,1500,0,29.8,Cloudy,Light,Eco,Urban,3.05,33.6,256.9,81.77,500.0,0.0,0.824,364.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:14:30,trip_1,Driver_19,10.81,-0.305,3.57,0.176,1500,50,27.48,Clear,Light,Eco,Hilly,1.44,31.9,263.2,81.74,739.0,11.7,0.843,361.6,-0.2,0.0012,0.9836,0.0173,0.0336
2025-01-01 08:15:00,trip_1,Driver_3,34.53,-0.66,-0.36,0.563,1500,0,31.3,Clear,Free,Normal,Urban,3.83,32.6,261.2,81.74,2359.0,-30.5,0.937,358.5,-2.8,0.0164,-8.1807,0.0,0.0008
2025-01-01 08:15:30,trip_1,Driver_14,22.72,-1.19,1.66,0.389,1900,100,22.73,Rain,Heavy,Eco,Urban,3.05,34.8,267.6,81.74,1552.0,-67.7,0.893,360.7,-7.3,0.0451,-11.9624,0.0,0.0
2025-01-01 08:16:00,trip_1,Driver_4,49.32,-0.674,3.82,0.81,1800,100,27.08,Clear,Free,Normal,Hilly,3.16,34.5,298.6,81.74,3370.0,-8.3,0.946,357.8,-1.1,0.0065,-3.1726,0.0,0.0034
2025-01-01 08:16:30,trip_1,Driver_18,43.61,0.078,1.38,0.752,1900,0,22.57,Fog,Light,Normal,Urban,5.28,30.7,309.0,81.42,2980.0,28.9,0.961,356.8,25.3,0.0,9.8083,0.1827,0.2275
2025-01-01 08:17:00,trip_1,Driver_20,53.49,1.008,1.57,0.899,1700,0,39.58,Rain,Moderate,Normal,Urban,3.69,35.8,323.1,80.26,3655.0,89.9,0.969,363.4,94.7,0.0,37.3996,0.6789,0.6752
2025-01-01 08:17:30,trip_1,Driver_13,75.35,-0.618,-1.4,1.28,1600,0,18.93,Cloudy,Moderate,Normal,Urban,1.25,33.6,305.2,80.26,5148.0,-30.8,0.846,357.9,-5.7,0.0347,-18.0669,0.0,0.0
2025-01-01 08:18:00,trip_1,Driver_10,24.69,1.322,1.28,0.436,1800,0,19.98,Clear,Moderate,Eco,Urban,2.88,34.3,310.7,79.61,1687.0,112.2,0.94,355.7,55.7,0.0,21.5416,0.4108,0.4431
2025-01-01 08:18:30,trip_1,Driver_19,70.95,-0.545,3.15,1.198,1900,50,28.93,Clear,Moderate,Normal,Hilly,1.84,30.5,348.5,79.61,4848.0,-0.6,0.866,355.9,-0.1,0.0006,-0.321,0.0,0.0
2025-01-01 08:19:00,trip_1,Driver_17,29.87,-0.748,0.24,0.496,1800,50,26.69,Clear,Free,Eco,Urban,0.5,35.5,349.7,79.61,2041.0,-40.4,0.923,358.6,-3.6,0.0214,-9.3785,0.0,0.0
2025-01-01 08:19:30,trip_1,Driver_20,26.91,1.505,3.2,0.44,1700,0,21.1,Rain,Free,Eco,Hilly,3.04,31.5,363.7,78.75,1839.0,130.6,0.953,354.2,71.0,0.0,27.3386,0.4828,0.5219
2025-01-01 08:20:00,trip_1,Driver_16,44.42,-0.202,2.41,0.764,1500,50,30.39,Fog,Moderate,Normal,Urban,2.52,34.4,382.2,78.61,3035.0,13.3,0.955,360.5,-0.5,0.0031,4.6065,0.0856,0.0883
2025-01-01 08:20:30,trip_1,Driver_13,37.37,-2.288,-1.0,0.649,1500,50,24.11,Clear,Heavy,Normal,Urban,4.38,32.3,375.7,78.61,2553.0,-133.0,0.944,355.9,-45.7,0.2825,-38.6603,0.0,0.0
2025-01-01 08:21:00,trip_1,Driver_19,20.93,-0.293,-1.46,0.375,1500,0,31.35,Clear,Light,Eco,Urban,2.26,32.9,370.2,78.61,1430.0,-16.3,0.885,359.3,-0.4,0.0026,-2.6529,0.0,0.0
2025-01-01 08:21:30,trip_1,Driver_7,60.66,0.733,1.16,0.984,1700,100,27.11,Rain,Light,Normal,Urban,3.27,35.3,381.6,77.58,4145.0,74.0,0.94,357.0,89.9,0.0,34.8917,0.6113,0.706
2025-01-01 08:22:00,trip_1,Driver_4,10.97,-0.342,-0.49,0.174,1600,0,25.59,Rain,Free,Eco,Urban,1.57,33.1,380.7,77.58,750.0,-14.9,0.839,357.6,-0.2,0.0011,-1.2748,0.0,0.0
2025-01-01 08:22:30,trip_1,Driver_6,24.62,-0.393,0.66,0.426,1900,50,24.2,Fog,Free,Eco,Urban,1.96,32.4,383.6,77.58,1682.0,-13.0,0.901,356.5,-0.5,0.0031,-2.4832,0.0,0.0101
2025-01-01 08:23:00,trip_1,Driver_6,46.53,-0.768,-3.15,0.782,1700,0,31.55,Clear,Light,Normal,Urban,2.34,33.4,358.9,77.58,3179.0,-58.7,0.949,358.6,-8.4,0.0506,-21.2474,0.0,0.0
2025-01-01 08:23:30,trip_1,Driver_2,27.71,-1.222,0.39,0.47,1800,0,25.04,Clear,Light,Eco,Urban,2.79,31.2,360.8,77.58,1893.0,-71.5,0.914,355.1,-9.8,0.059,-15.4083,0.0,0.0
2025-01-01 08:24:00,trip_1,Driver_18,66.57,-1.504,-2.91,1.094,1500,100,28.2,Rain,Moderate,Normal,Urban,1.81,31.0,328.9,77.58,4548.0,-96.6,0.886,360.7,-38.4,0.2276,-50.0,0.0,0.0
2025-01-01 08:24:30,trip_1,Driver_19,53.63,1.056,1.51,0.915,1500,50,13.31,Rain,Moderate,Normal,Urban,5.36,32.0,342.7,76.55,3664.0,84.8,0.967,345.9,94.1,0.0,35.3825,0.652,0.6644
2025-01-01 08:25:00,trip_1,Driver_3,20.88,0.721,1.75,0.355,1700,50,25.13,Clear,Free,Eco,Urban,2.77,33.4,349.0,76.2,1427.0,71.2,0.911,355.3,29.9,0.0,11.5581,0.2122,0.2188
2025-01-01 08:25:30,trip_1,Driver_1,71.05,0.462,-2.3,1.163,1500,200,27.13,Rain,Light,Normal,Urban,3.36,33.9,322.2,75.67,4854.0,31.5,0.878,355.6,45.0,0.0,17.401,0.3076,0.3369
2025-01-01 08:26:00,trip_1,Driver_7,33.48,-0.709,3.92,0.566,1800,0,37.07,Clear,Free,Normal,Hilly,3.35,34.5,344.4,75.67,2287.0,-11.0,0.934,361.0,-1.0,0.0061,-2.8763,0.0,0.0
2025-01-01 08:26:30,trip_1,Driver_11,66.56,0.021,0.88,1.112,1800,200,23.78,Clear,Light,Normal,Urban,2.79,33.9,354.2,75.25,4548.0,25.2,0.896,357.1,33.6,0.0,13.0345,0.2352,0.2684
2025-01-01 08:27:00,trip_1,Driver_18,32.04,-0.848,1.65,0.529,1500,0,23.36,Rain,Free,Normal,Urban,2.38,35.1,362.9,75.25,2189.0,-30.1,0.93,354.9,-3.3,0.0193,-7.5087,0.0,0.025
2025-01-01 08:27:30,trip_1,Driver_10,43.79,-2.086,-0.76,0.719,1500,0,21.79,Clear,Light,Normal,Urban,4.46,34.3,357.4,75.25,2992.0,-114.9,0.95,354.1,-42.4,0.2465,-39.1316,0.0,0.0
